input,experiment_ware,cpu_time,Category,Checked answer,Objective function,Wallclock time,Memory,Solver name,Solver version,timeout,success,user_success,missing,consistent_xp,consistent_input,error
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,cosoco 2,2519.89,COP,SAT TO,6,2520.01,33400.0,cosoco,2,1200.0,False,False,False,True,True,False
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,cosoco 2.0,2519.89,COP,SAT TO,6,2520.01,33400.0,cosoco,2.0,1200.0,False,False,False,True,True,False
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,cosoco 2.0,2520.04,COP,SAT TO,6,2519.8,33400.0,cosoco,2.0,1200.0,False,False,False,True,True,False
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,AbsCon 2019-07-23,2520.1,COP,SAT TO,18,2513.91,10748324.0,AbsCon,2019-07-23,1200.0,False,False,False,True,True,False
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,PicatSAT 2019-09-12,2519.99,COP,UNKNOWN TO,,2520.06,5285216.0,PicatSAT,2019-09-12,1200.0,False,False,False,True,True,False
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,choco-solver 2019-09-24,2520.05,COP,UNKNOWN TO,,2507.81,15264284.0,choco-solver,2019-09-24,1200.0,False,False,False,True,True,False
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,Concrete 3.10,2520.06,COP,UNKNOWN TO,,2483.74,10849720.0,Concrete,3.10,1200.0,False,False,False,True,True,False
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,Concrete 3.12.2,2520.08,COP,UNKNOWN TO,,2482.65,10849732.0,Concrete,3.12.2,1200.0,False,False,False,True,True,False
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,Concrete 3.12.2,2520.08,COP,UNKNOWN TO,,2485.14,10846984.0,Concrete,3.12.2,1200.0,False,False,False,True,True,False
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,Concrete 3.12.3,2520.14,COP,UNKNOWN TO,,2480.75,10849724.0,Concrete,3.12.3,1200.0,False,False,False,True,True,False
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,choco-solver 2019-09-20,2520.43,COP,UNKNOWN TO,,635.04,15530540.0,choco-solver,2019-09-20,1200.0,False,False,False,True,True,False
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,choco-solver 2019-06-14,2520.53,COP,UNKNOWN TO,,635.21,15530532.0,choco-solver,2019-06-14,1200.0,False,False,False,True,True,False
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,choco-solver 2019-09-16,2520.65,COP,UNKNOWN TO,,635.105,15530540.0,choco-solver,2019-09-16,1200.0,False,False,False,True,True,False
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,choco-solver 2019-09-20 parallel,20015.8,COP,UNKNOWN TO,,2520.12,28881464.0,choco-solver,2019-09-20 parallel,1200.0,False,False,False,True,True,False
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,choco-solver 2019-09-24 parallel,20026.8,COP,UNKNOWN TO,,2520.11,28881464.0,choco-solver,2019-09-24 parallel,1200.0,False,False,False,True,True,False
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,choco-solver 2019-09-16 parallel,20039.8,COP,UNKNOWN TO,,2520.11,28881464.0,choco-solver,2019-09-16 parallel,1200.0,False,False,False,True,True,False
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,choco-solver 2019-06-14 parallel,20042.4,COP,UNKNOWN TO,,2520.12,28881456.0,choco-solver,2019-06-14 parallel,1200.0,False,False,False,True,True,False
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,cosoco 2.O parallel,20118.2,COP,UNKNOWN TO,,2520.02,655788.0,cosoco,2.O parallel,1200.0,False,False,False,True,True,False
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,cosoco 2.0 parallel,20120.4,COP,UNKNOWN TO,,2520.02,657840.0,cosoco,2.0 parallel,1200.0,False,False,False,True,True,False
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,BTD 19.07.01,,,,,,,,,,False,,True,True,True,True
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,Fun-sCOP hybrid+CryptoMiniSat (2019-06-15),,,,,,,,,,False,,True,True,True,True
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,Fun-sCOP order+GlueMiniSat (2019-06-15),,,,,,,,,,False,,True,True,True,True
XCSP17/BinPacking/BinPacking-mdd-fu/BinPacking-mdd-fu0120-05.xml,Fun-sCOP hybrid+ManyGlucose (2019-09-22),,,,,,,,,,False,,True,True,True,True
