input,experiment_ware,cpu_time,Checked answer,Wallclock time,Memory,Solver name,Solver version,timeout,error,success,missing,consistent_xp,family
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,BTD 19.07.01,0.031203,SAT,0.031908,0,BTD,19.07.01,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,cosoco 2.O parallel,0.133394,SAT,0.0632821,0,cosoco,2.O parallel,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,cosoco 2.0 parallel,0.153156,SAT,0.0650591,0,cosoco,2.0 parallel,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,choco-solver 2019-09-16,1.51053,SAT,0.682586,15530540,choco-solver,2019-09-16,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,choco-solver 2019-09-20,1.52427,SAT,0.711266,15530540,choco-solver,2019-09-20,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,choco-solver 2019-06-14,1.60424,SAT,0.709087,15530532,choco-solver,2019-06-14,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,choco-solver 2019-09-20 parallel,2.06933,SAT,0.7748,28879416,choco-solver,2019-09-20 parallel,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,choco-solver 2019-09-24 parallel,2.23017,SAT,0.789824,28879416,choco-solver,2019-09-24 parallel,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,choco-solver 2019-06-14 parallel,2.325,SAT,0.828976,28881456,choco-solver,2019-06-14 parallel,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,choco-solver 2019-09-16 parallel,2.34415,SAT,0.874749,28879416,choco-solver,2019-09-16 parallel,1200.0,False,True,False,True,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,AbsCon 2019-07-23,3.65329,SAT,2.30697,10746276,AbsCon,2019-07-23,1200.0,False,True,False,True,AllInterval
