Category | Instance name                                                                                  | Checked answer | Objective function | CPU time | Wallclock time | Memory   | Solver name  | Solver version                   
____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 0.133394 | 0.0632821      | 0        | cosoco       | 2.O parallel                     
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | UNSAT            |                    | 0.153156 | 0.0650591      | 0        | cosoco       | 2.0 parallel                     
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 1.51053  | 0.682586       | 15530540 | choco-solver | 2019-09-16                       
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 1.52427  | 0.711266       | 15530540 | choco-solver | 2019-09-20                       
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 1.60424  | 0.709087       | 15530532 | choco-solver | 2019-06-14                       
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 2.06933  | 0.7748         | 28879416 | choco-solver | 2019-09-20 parallel              
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 2.23017  | 0.789824       | 28879416 | choco-solver | 2019-09-24 parallel              
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 2.325    | 0.828976       | 28881456 | choco-solver | 2019-06-14 parallel              
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 2.34415  | 0.874749       | 28879416 | choco-solver | 2019-09-16 parallel              
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 3.65329  | 2.30697        | 10746276 | AbsCon       | 2019-07-23                       
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 9.80993  | 4.86514        | 10947356 | Concrete     | 3.12.3                           
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 11.6944  | 5.97747        | 15142500 | Fun-sCOP     | hybrid+CryptoMiniSat (2019-06-15)
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 14.1492  | 8.11736        | 15140452 | Fun-sCOP     | order+GlueMiniSat (2019-06-15)   
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 14.8738  | 14.8773        | 28784    | cosoco       | 2.0                              
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 14.8766  | 14.8779        | 28784    | cosoco       | 2.0                              
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 14.919   | 14.9192        | 28784    | cosoco       | 2                                
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 16.2042  | 5.10928        | 27443924 | Fun-sCOP     | hybrid+ManyGlucose (2019-09-22)  
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 16.3254  | 5.21951        | 27443924 | Fun-sCOP     | order+ManyGlucose (2019-09-22)   
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 16.5128  | 5.24923        | 27441876 | Fun-sCOP     | hybrid+ManyGlucose (2019-06-15)  
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 16.5567  | 5.47742        | 27443924 | Fun-sCOP     | order+ManyGlucose (2019-06-15)   
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 69.1219  | 63.705         | 15264284 | choco-solver | 2019-09-24                       
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 81.2146  | 68.9308        | 10849960 | Concrete     | 3.10                             
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 228.644  | 228.65         | 2199068  | PicatSAT     | 2019-09-12                       
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | SAT            |                    | 519.439  | 498.166        | 10849984 | Concrete     | 3.12.2                           
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml                                       | UNKNOWN TO     |                    | 2520.08  | 2466.13        | 10851996 | Concrete     | 3.12.2                           
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 0.045375 | 0.046024       | 0        | BTD          | 19.07.01                         
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 0.192267 | 0.0826649      | 0        | cosoco       | 2.O parallel                     
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 0.194462 | 0.0842389      | 0        | cosoco       | 2.0 parallel                     
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 0.347661 | 0.348062       | 29456    | cosoco       | 2                                
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 0.347714 | 0.349008       | 29456    | cosoco       | 2.0                              
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 0.349187 | 0.349243       | 29456    | cosoco       | 2.0                              
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 1.57938  | 0.704395       | 15465004 | choco-solver | 2019-09-20                       
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 1.68856  | 0.740422       | 15530532 | choco-solver | 2019-06-14                       
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 1.75339  | 0.761042       | 15530540 | choco-solver | 2019-09-16                       
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 2.0356   | 0.772626       | 28879416 | choco-solver | 2019-09-24 parallel              
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 2.20307  | 0.798964       | 28879416 | choco-solver | 2019-09-20 parallel              
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 2.57443  | 0.897438       | 28879416 | choco-solver | 2019-09-16 parallel              
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 2.5853   | 0.890231       | 28881456 | choco-solver | 2019-06-14 parallel              
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 3.77132  | 2.36899        | 10746276 | AbsCon       | 2019-07-23                       
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 14.6022  | 7.84883        | 15140432 | Fun-sCOP     | order+GlueMiniSat (2019-06-15)   
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 14.8833  | 8.14735        | 15140452 | Fun-sCOP     | hybrid+CryptoMiniSat (2019-06-15)
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 23.5169  | 6.62165        | 27441876 | Fun-sCOP     | order+ManyGlucose (2019-09-22)   
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 23.8447  | 6.57058        | 27441856 | Fun-sCOP     | hybrid+ManyGlucose (2019-09-22)  
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 24.214   | 6.92488        | 27441876 | Fun-sCOP     | order+ManyGlucose (2019-06-15)   
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 25.1224  | 6.60309        | 27441876 | Fun-sCOP     | hybrid+ManyGlucose (2019-06-15)  
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 46.7505  | 42.0101        | 15264284 | choco-solver | 2019-09-24                       
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 93.5386  | 79.4634        | 10851996 | Concrete     | 3.12.2                           
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 127.241  | 115.237        | 10849960 | Concrete     | 3.10                             
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 189.841  | 175.507        | 10849980 | Concrete     | 3.12.3                           
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | SAT            |                    | 290.328  | 290.334        | 2185708  | PicatSAT     | 2019-09-12                       
CSP      | XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml                                       | UNKNOWN TO     |                    | 2520.1   | 2466.23        | 10849984 | Concrete     | 3.12.2                           
CSP      | XCSP17/Bibd/Bibd-sc-open/Bibd-sc-85-085-36-36-15.xml                                           | UNKNOWN MO     |                    | 48.4697  | 50.7958        | 31792884 | cosoco       | 2.0 parallel                     
