input;id_instance;method;k;size;percent;res3700re;time;cut;ite;cover
TF-37.tf;0;ptf;3;24;0.9913644214162349;5.0;561.6353869438171;True;211;99
TF-70.tf;1;ptf;3;19;0.9913644214162349;5.0;58.95387148857117;True;103;99
cire100-4.txt;2;ptf;3;26;1.0;0;2.6177432537078857;True;18;99
rtf30-6.txt;3;ptf;3;6;1.0;0;0.22969555854797363;True;5;99
TF-15.tf;4;ptf;3;16;0.9913644214162349;5.0;20.24784541130066;True;60;99
TF-10.tf;5;ptf;3;NA;NA;NA;3700;True;1;99
TF-51.tf;6;ptf;3;18;0.9913644214162349;5.0;84.8348126411438;True;91;99
TF-54.tf;7;ptf;3;27;0.9913644214162349;6.0;602.1616103649139;True;206;99
scp1000-1.txt;8;ptf;3;NA;NA;NA;3700;True;1;99
TF-76.tf;9;ptf;3;NA;NA;NA;3700;True;1;99
TF-55.tf;10;ptf;3;16;0.9913494809688581;5.0;86.21631479263306;True;104;99
TF-8.tf;11;ptf;3;NA;NA;NA;3700;True;1;99
TF-78.tf;12;ptf;3;27;0.9913644214162349;6.0;771.6741111278534;True;240;99
cire100-9.txt;13;ptf;3;28;1.0;0;0.8899242877960205;True;17;99
TF-99.tf;14;ptf;3;21;0.9913644214162349;6.0;109.68158173561096;True;114;99
TF-41.tf;15;ptf;3;NA;NA;NA;3700;True;1;99
TF-2.tf;16;ptf;3;24;0.9913644214162349;5.0;879.5073132514954;True;250;99
TF-48.tf;17;ptf;3;27;0.9913644214162349;6.0;554.0334062576294;True;224;99
rtf30-5.txt;18;ptf;3;7;1.0;0;0.24930143356323242;True;7;99
TF-57.tf;19;ptf;3;16;0.9913644214162349;5.0;38.602028369903564;True;64;99
TF-81.tf;20;ptf;3;22;0.9913644214162349;6.0;389.34640192985535;True;180;99
TF-18.tf;21;ptf;3;23;0.9913644214162349;5.0;93.65459871292114;True;108;99
TF-12.tf;22;ptf;3;18;0.9913644214162349;3.0;53.35458064079285;True;82;99
TF-21.tf;23;ptf;3;NA;NA;NA;3700;True;1;99
rtf30-7.txt;24;ptf;3;10;1.0;0;0.8978896141052246;True;7;99
TF-42.tf;25;ptf;3;22;0.9913644214162349;5.0;92.94872522354126;True;118;99
scp1000-8.txt;26;ptf;3;NA;NA;NA;3700;True;1;99
TF-11.tf;27;ptf;3;NA;NA;NA;3700;True;1;99
TF-33.tf;28;ptf;3;26;0.9913644214162349;5.0;495.20716738700867;True;201;99
TF-56.tf;29;ptf;3;23;0.9913644214162349;6.0;136.13823866844177;True;157;99
TF-36.tf;30;ptf;3;17;0.9913644214162349;6.0;276.9253282546997;True;165;99
TF-30.tf;31;ptf;3;NA;NA;NA;3700;True;1;99
TF-28.tf;32;ptf;3;15;0.9913644214162349;4.0;22.25223445892334;True;42;99
TF-38.tf;33;ptf;3;NA;NA;NA;3700;True;1;99
TF-64.tf;34;ptf;3;25;0.9913644214162349;6.0;496.1923294067383;True;199;99
TF-31.tf;35;ptf;3;21;0.9913644214162349;4.0;371.27229356765747;True;185;99
TF-88.tf;36;ptf;3;19;0.9913644214162349;4.0;69.68886542320251;True;98;99
cire150-1.txt;37;ptf;3;40;1.0;0;2.1170811653137207;True;22;99
cire100-2.txt;38;ptf;3;29;1.0;0;4.9545488357543945;True;19;99
TF-14.tf;39;ptf;3;NA;NA;NA;3700;True;1;99
TF-95.tf;40;ptf;3;NA;NA;NA;3700;True;1;99
TF-86.tf;41;ptf;3;NA;NA;NA;3700;True;1;99
TF-83.tf;42;ptf;3;16;0.9913644214162349;4.0;53.40486121177673;True;97;99
TF-24.tf;43;ptf;3;20;0.9913644214162349;6.0;28.20984387397766;True;66;99
TF-4.tf;44;ptf;3;14;0.9913644214162349;3.0;1.9303419589996338;True;26;99
rtf30-9.txt;45;ptf;3;10;1.0;0;0.251845121383667;True;8;99
TF-74.tf;46;ptf;3;17;0.9913644214162349;5.0;49.43646812438965;True;85;99
TF-80.tf;47;ptf;3;24;0.9913644214162349;6.0;1027.5285234451294;True;301;99
TF-44.tf;48;ptf;3;21;0.9913494809688581;6.0;39.13650608062744;True;90;99
TF-66.tf;49;ptf;3;21;0.9913644214162349;5.0;167.17889976501465;True;147;99
TF-62.tf;50;ptf;3;22;0.9913644214162349;5.0;202.17377614974976;True;157;99
TF-97.tf;51;ptf;3;26;0.9913644214162349;5.0;254.6915054321289;True;148;99
TF-13.tf;52;ptf;3;18;0.9913644214162349;5.0;80.71302652359009;True;116;99
scp1000-7.txt;53;ptf;3;NA;NA;NA;3700;True;1;99
scp1000-0.txt;54;ptf;3;NA;NA;NA;3700;True;1;99
scp1000-5.txt;55;ptf;3;NA;NA;NA;3700;True;1;99
rtf30-4.txt;56;ptf;3;7;1.0;0;0.24488162994384766;True;6;99
TF-59.tf;57;ptf;3;16;0.9913644214162349;5.0;63.190661668777466;True;95;99
TF-27.tf;58;ptf;3;23;0.9913644214162349;6.0;517.654705286026;True;214;99
TF-23.tf;59;ptf;3;21;0.9913644214162349;6.0;81.52509021759033;True;106;99
TF-35.tf;60;ptf;3;21;0.9913644214162349;6.0;289.0458207130432;True;185;99
scp1000-4.txt;61;ptf;3;NA;NA;NA;3700;True;1;99
TF-61.tf;62;ptf;3;30;0.9913644214162349;6.0;437.0742299556732;True;198;99
scp1000-2.txt;63;ptf;3;NA;NA;NA;3700;True;1;99
TF-98.tf;64;ptf;3;21;0.9913644214162349;4.0;46.105090618133545;True;68;99
TF-40.tf;65;ptf;3;24;0.9913644214162349;6.0;63.82627081871033;True;102;99
TF-46.tf;66;ptf;3;21;0.9913644214162349;6.0;130.76821064949036;True;138;99
TF-58.tf;67;ptf;3;16;0.9913644214162349;6.0;55.18867802619934;True;102;99
cire150-5.txt;68;ptf;3;43;1.0;0;4.668349742889404;True;27;99
cire150-6.txt;69;ptf;3;41;1.0;0;3.030475378036499;True;25;99
TF-100.tf;70;ptf;3;25;0.9913494809688581;6.0;40.295883655548096;True;77;99
TF-87.tf;71;ptf;3;NA;NA;NA;3700;True;1;99
cire100-6.txt;72;ptf;3;28;1.0;0;4.403297424316406;True;19;99
TF-3.tf;73;ptf;3;17;0.9913644214162349;5.0;18.667055368423462;True;65;99
TF-73.tf;74;ptf;3;22;0.9913644214162349;4.0;117.81307172775269;True;138;99
rtf30-3.txt;75;ptf;3;8;1.0;0;1.3089337348937988;True;11;99
TF-16.tf;76;ptf;3;23;0.9913644214162349;6.0;154.80386352539062;True;142;99
