benchmark,solver,configuration,solver time,status,result,verifier time,verifier result
sat/001-80-12-sc2014.cnf.bz2, CCAnrSim, default, 5000.05, timeout (wallclock), UNKNOWN, 0.0170209, --
sat/001-80-12-sc2014.cnf.bz2, COMiniSatPS_Pulsar_drup, drup, 451.815, complete, SAT-VERIFIED, 0.0100371, --
sat/001-80-12-sc2014.cnf.bz2, CaDiCaL, default, 5000.09, timeout (wallclock), UNKNOWN, 0.00884504, --
sat/001-80-12-sc2014.cnf.bz2, CaDiCaL, sat, 5000.05, timeout (wallclock), UNKNOWN, 0.011419, --
sat/001-80-12-sc2014.cnf.bz2, CaDiCaL, unsat, 3230.17, complete, SAT-VERIFIED, 0.00957405, --
sat/001-80-12-sc2014.cnf.bz2, Candy, default, 605.98, complete, SAT-VERIFIED, 0.0093079, --
sat/001-80-12-sc2014.cnf.bz2, MLDChronoBT_GCBump, default, 530.647, complete, SAT-VERIFIED, 0.00929008, --
sat/001-80-12-sc2014.cnf.bz2, MapleCOMSPS_CHB_VSIDS_drup, CHB_VSIDS_drup, 1641.89, complete, SAT-VERIFIED, 0.0114749, --
sat/001-80-12-sc2014.cnf.bz2, MapleCOMSPS_LRB_VSIDS_2_drup, LRB_VSIDS_2_drup, 1296.22, complete, SAT-VERIFIED, 0.00937889, --
sat/001-80-12-sc2014.cnf.bz2, MapleCOMSPS_LRB_VSIDS_drup, LRB_VSIDS_drup, 912.396, complete, SAT-VERIFIED, 0.0106109, --
sat/001-80-12-sc2014.cnf.bz2, MapleLCMChronoBT_DEL, default, 420.213, complete, SAT-VERIFIED, 0.0110809, --
sat/001-80-12-sc2014.cnf.bz2, MapleLCMChronoBT_Scavel_EWMA, default, 880.545, complete, SAT-VERIFIED, 0.013041, --
sat/001-80-12-sc2014.cnf.bz2, MapleLCMChronoBT_ldcr, default, 734.693, complete, SAT-VERIFIED, 0.0103841, --
sat/001-80-12-sc2014.cnf.bz2, MapleLCMDISTChronoBT_Scavel_EWMA_08ALL, default, 830.14, complete, SAT-VERIFIED, 0.0116801, --
sat/001-80-12-sc2014.cnf.bz2, MapleLCMDiscChronoBT-DL-v3, default, 646.472, complete, SAT-VERIFIED, 0.0116, --
sat/001-80-12-sc2014.cnf.bz2, MapleLCMDistChronoBT-DL-v2.1, default, 910.812, complete, SAT-VERIFIED, 0.00936309, --
sat/001-80-12-sc2014.cnf.bz2, MapleLCMDistChronoBT-DL-v2.2, default, 757.522, complete, SAT-VERIFIED, 0.0107999, --
sat/001-80-12-sc2014.cnf.bz2, MapleLCMDistChronoBTVariableReindexing, default, 39.6202, complete, SAT-INCORRECT, 0.0103751, --
sat/001-80-12-sc2014.cnf.bz2, MapleLCMdistCBTcoreFirst, default, 1243.29, complete, SAT-VERIFIED, 0.0134109, --
sat/001-80-12-sc2014.cnf.bz2, Maple_CM_OnlineDel_19b, default, 991.151, complete, SAT-VERIFIED, 0.0094941, --
sat/001-80-12-sc2014.cnf.bz2, Maple_LCM_BTL, default, 566.048, complete, SAT-VERIFIED, 0.011189, --
sat/001-80-12-sc2014.cnf.bz2, Maple_LCM_OnlineDel_19a, default, 843.305, complete, SAT-VERIFIED, 0.00987789, --
sat/001-80-12-sc2014.cnf.bz2, Maple_LCM_Scavel_155, default, 932.347, complete, SAT-VERIFIED, 0.011925, --
sat/001-80-12-sc2014.cnf.bz2, MergeSAT, simp_proof, 780.956, complete, SAT-VERIFIED, 0.00973102, --
sat/001-80-12-sc2014.cnf.bz2, Minisat-v2.2.0-106-ge2dd095, simp_proof, 5000.07, timeout (wallclock), UNKNOWN, 0.010374, --
sat/001-80-12-sc2014.cnf.bz2, PADC_MapleLCMDistChronoBT, default, 748.865, complete, SAT-VERIFIED, 0.0103271, --
sat/001-80-12-sc2014.cnf.bz2, PADC_MapleLCMDistChronoBT, nbIncRedDB_5_CT_0, 847.194, complete, SAT-VERIFIED, 0.00978598, --
sat/001-80-12-sc2014.cnf.bz2, PADC_Maple_LCM_Dist, default, 834.0, complete, SAT-VERIFIED, 0.0109599, --
sat/001-80-12-sc2014.cnf.bz2, PSIDS_MapleLCMDistChronoBT, default, 1004.78, complete, SAT-VERIFIED, 0.011141, --
sat/001-80-12-sc2014.cnf.bz2, Relaxed_LCMDistChronoBT, default, 1739.15, complete, SAT-VERIFIED, 0.014036, --
sat/001-80-12-sc2014.cnf.bz2, Relaxed_LCMDistChronoBT_Scavel, default, 1336.18, complete, SAT-VERIFIED, 0.013059, --
sat/001-80-12-sc2014.cnf.bz2, Relaxed_LCMDistChronoBT_p9, default, 1713.01, complete, SAT-VERIFIED, 0.0115211, --
sat/001-80-12-sc2014.cnf.bz2, Relaxed_LCM_Dist, default, 861.939, complete, SAT-VERIFIED, 0.012806, --
sat/001-80-12-sc2014.cnf.bz2, Riss7.1, NOUNSAT_proof, 1226.5, complete, SAT-VERIFIED, 0.010877, --
sat/001-80-12-sc2014.cnf.bz2, Riss7.1, default_proof, 2790.24, complete, SAT-VERIFIED, 0.00993412, --
