Glasgow, LAD, VF2, RI
0.001000, 0.001000, 0.001000, 0.001000
0.001000, 0.001000, 0.001000, 0.001000
0.001000, 0.001000, 954.601000, 33.762000
0.001000, 0.001000, 53.954000, 1.229000
0.001000, 0.001000, 1000.000000, 896.838000
0.004000, 0.015000, 109.610000, 0.121000
0.001000, 0.012000, 0.004000, 0.001000
0.002000, 0.028000, 0.001000, 0.001000
0.001000, 0.003000, 11.075000, 9.323000
217.588000, 107.512000, 1000.000000, 1000.000000
0.003000, 0.001000, 1000.000000, 431.641000
1000.000000, 219.391000, 1000.000000, 1000.000000
0.690000, 1000.000000, 1000.000000, 1000.000000
0.001000, 0.001000, 0.001000, 0.001000
0.004000, 0.022000, 25.076000, 0.277000
0.003000, 0.022000, 16.309000, 0.209000
0.003000, 0.039000, 0.093000, 0.001000
0.009000, 0.037000, 0.002000, 0.001000
0.001000, 0.005000, 3.983000, 0.001000
1.762000, 56.061000, 1000.000000, 577.760000
0.003000, 0.001000, 0.001000, 0.001000
0.005000, 0.065000, 0.001000, 0.001000
0.001000, 0.008000, 2.181000, 0.001000
0.006000, 0.308000, 1000.000000, 23.400000
0.008000, 3.560000, 1000.000000, 1000.000000
0.003000, 0.024000, 0.196000, 0.008000
0.003000, 0.021000, 0.109000, 0.024000
0.086000, 3.031000, 1000.000000, 0.950000
0.200000, 2.951000, 1000.000000, 0.911000
0.004000, 1.763000, 16.456000, 0.048000
0.002000, 0.037000, 1000.000000, 1000.000000
0.006000, 0.049000, 0.001000, 0.001000
0.001000, 0.001000, 1000.000000, 1000.000000
0.001000, 0.001000, 1000.000000, 0.822000
0.001000, 0.001000, 50.571000, 0.041000
0.001000, 0.001000, 1000.000000, 7.367000
0.001000, 0.002000, 77.618000, 0.005000
0.002000, 17.433000, 248.003000, 2.118000
0.002000, 0.050000, 0.001000, 0.001000
0.001000, 0.002000, 13.506000, 1.012000
0.001000, 0.027000, 1000.000000, 150.631000
0.001000, 0.001000, 499.999000, 33.104000
0.001000, 0.027000, 1000.000000, 214.638000
36.963000, 65.749000, 1000.000000, 1000.000000
0.001000, 0.001000, 0.001000, 0.001000
1.330000, 161.126000, 1000.000000, 14.554000
1.172000, 45.346000, 1000.000000, 13.192000
11.000000, 394.769000, 1000.000000, 88.792000
0.008000, 0.061000, 0.002000, 0.001000
0.001000, 0.001000, 2.990000, 0.001000
0.002000, 0.182000, 1000.000000, 3.180000
0.001000, 0.001000, 1000.000000, 1000.000000
0.008000, 0.086000, 0.573000, 0.001000
0.001000, 0.001000, 2.262000, 0.001000
0.001000, 0.035000, 666.549000, 2.415000
1.236000, 6.963000, 1000.000000, 1000.000000
7.725000, 227.506000, 1000.000000, 78.039000
7.460000, 215.073000, 1000.000000, 73.944000
0.009000, 0.738000, 1000.000000, 0.417000
0.009000, 0.758000, 1000.000000, 0.383000
0.030000, 1.599000, 1000.000000, 0.873000
1000.000000, 1000.000000, 1000.000000, 1000.000000
0.006000, 0.095000, 1000.000000, 0.001000
0.008000, 0.083000, 1000.000000, 21.467000
0.003000, 0.050000, 0.001000, 0.001000
0.001000, 0.001000, 837.791000, 0.001000
0.001000, 0.001000, 3.483000, 0.001000
0.001000, 0.001000, 1000.000000, 7.615000
0.004000, 0.044000, 1000.000000, 0.188000
0.004000, 0.057000, 1000.000000, 0.166000
0.008000, 0.124000, 1000.000000, 0.984000
0.008000, 0.144000, 0.001000, 0.001000
0.001000, 0.002000, 1000.000000, 0.035000
0.006000, 0.081000, 1000.000000, 0.001000
0.004000, 0.051000, 1000.000000, 1000.000000
0.005000, 0.085000, 1000.000000, 0.466000
0.005000, 0.050000, 1000.000000, 0.449000
0.005000, 0.001000, 0.015000, 0.001000
0.003000, 0.001000, 0.012000, 0.001000
0.003000, 0.014000, 0.021000, 0.004000
0.007000, 0.092000, 1000.000000, 0.001000
0.001000, 0.001000, 0.008000, 0.004000
0.044000, 0.003000, 5.583000, 2.884000
0.003000, 0.020000, 0.001000, 0.001000
0.001000, 0.002000, 0.001000, 0.001000
0.001000, 0.001000, 0.001000, 0.001000
0.001000, 0.001000, 0.001000, 0.001000
0.094000, 0.122000, 1000.000000, 467.542000
0.003000, 0.001000, 0.003000, 0.007000
0.003000, 0.001000, 0.002000, 0.012000
0.005000, 0.001000, 0.004000, 0.017000
0.008000, 0.066000, 0.001000, 0.001000
0.001000, 0.001000, 0.001000, 0.001000
0.006000, 0.066000, 0.002000, 0.001000
0.010000, 0.009000, 1000.000000, 1000.000000
0.004000, 0.001000, 0.009000, 0.020000
0.004000, 0.001000, 0.005000, 0.015000
0.003000, 0.001000, 0.001000, 0.001000
0.003000, 0.003000, 0.001000, 0.001000
0.005000, 0.001000, 0.001000, 0.002000
0.008000, 0.311000, 1000.000000, 1000.000000
0.006000, 0.043000, 0.001000, 0.001000
0.001000, 0.001000, 1000.000000, 0.205000
0.352000, 1.280000, 1000.000000, 2.980000
0.002000, 0.020000, 0.001000, 0.001000
0.001000, 0.004000, 1000.000000, 0.041000
0.001000, 0.001000, 0.221000, 0.001000
0.001000, 0.001000, 1000.000000, 0.168000
0.134000, 0.067000, 1000.000000, 1000.000000
0.003000, 0.001000, 1000.000000, 0.023000
0.003000, 0.001000, 1000.000000, 0.018000
0.004000, 0.005000, 1000.000000, 0.023000
0.008000, 0.058000, 0.002000, 0.001000
0.001000, 0.001000, 0.001000, 0.001000
0.005000, 0.036000, 1000.000000, 0.001000
0.002000, 0.021000, 1000.000000, 383.566000
0.003000, 0.005000, 1000.000000, 0.015000
0.003000, 0.006000, 1000.000000, 0.014000
0.003000, 0.001000, 1000.000000, 0.002000
0.003000, 0.001000, 1000.000000, 0.002000
0.003000, 0.001000, 1000.000000, 0.003000
0.261000, 46.629000, 1000.000000, 1000.000000
0.006000, 0.042000, 0.001000, 0.001000
0.003000, 0.001000, 2.242000, 2.850000
0.003000, 0.040000, 0.001000, 0.001000
0.001000, 0.001000, 0.001000, 0.001000
0.001000, 0.001000, 0.001000, 0.001000
0.001000, 0.001000, 0.001000, 0.001000
0.003000, 0.008000, 1000.000000, 3.681000
0.003000, 0.002000, 0.006000, 0.003000
0.003000, 0.001000, 0.003000, 0.004000
0.003000, 0.001000, 0.015000, 0.011000
0.010000, 0.101000, 0.001000, 0.001000
0.001000, 0.001000, 0.001000, 0.001000
0.010000, 0.044000, 520.305000, 0.001000
0.020000, 1.927000, 1000.000000, 1000.000000
0.003000, 0.001000, 0.022000, 0.010000
0.004000, 0.001000, 0.019000, 0.007000
0.003000, 0.001000, 0.001000, 0.001000
0.003000, 0.001000, 0.001000, 0.001000
0.003000, 0.001000, 0.001000, 0.001000
0.003000, 0.040000, 0.001000, 1000.000000
0.006000, 0.086000, 0.002000, 0.001000
275.081000, 1000.000000, 1000.000000, 112.003000
0.003000, 0.045000, 0.001000, 0.001000
0.001000, 0.001000, 0.001000, 0.001000
0.001000, 0.001000, 1000.000000, 1.745000
0.001000, 0.001000, 0.001000, 1.545000
0.001000, 0.001000, 1000.000000, 38.934000
9.344000, 1.259000, 1000.000000, 1000.000000
0.001000, 0.001000, 0.001000, 0.001000
0.004000, 0.021000, 1000.000000, 0.046000
0.010000, 0.019000, 1000.000000, 0.068000
0.028000, 0.026000, 1000.000000, 0.088000
0.008000, 0.112000, 0.001000, 0.001000
0.001000, 0.001000, 0.001000, 0.001000
0.002000, 0.012000, 301.255000, 0.081000
0.001000, 0.001000, 0.265000, 0.001000
0.006000, 0.100000, 1000.000000, 0.001000
1000.000000, 1000.000000, 1000.000000, 1000.000000
0.027000, 0.039000, 1000.000000, 0.073000
0.039000, 0.036000, 1000.000000, 0.070000
0.003000, 0.004000, 1000.000000, 0.016000
0.003000, 0.004000, 1000.000000, 0.019000
0.004000, 0.006000, 1000.000000, 0.014000
18.566000, 1000.000000, 1000.000000, 1000.000000
0.007000, 0.117000, 1.648000, 0.001000
0.001000, 0.010000, 0.001000, 0.001000
0.004000, 0.007000, 59.502000, 0.043000
0.003000, 0.036000, 0.001000, 0.001000
0.003000, 0.032000, 0.001000, 0.001000
0.001000, 0.060000, 420.879000, 43.235000
0.001000, 0.001000, 1000.000000, 1000.000000
0.001000, 0.001000, 0.002000, 0.003000
0.001000, 0.001000, 1000.000000, 1000.000000
0.001000, 0.002000, 1000.000000, 1000.000000
1000.000000, 1000.000000, 1000.000000, 1000.000000
0.001000, 0.001000, 0.004000, 0.001000
0.003000, 0.067000, 0.001000, 0.001000
0.003000, 0.039000, 0.001000, 0.001000
0.003000, 0.035000, 0.001000, 0.001000
0.008000, 0.094000, 0.001000, 0.001000
0.038000, 1.620000, 84.252000, 0.042000
0.002000, 0.075000, 1.440000, 0.001000
0.005000, 0.171000, 29.784000, 0.051000
0.001000, 0.149000, 35.710000, 0.004000
0.105000, 333.496000, 1000.000000, 1000.000000
0.001000, 0.001000, 1000.000000, 1000.000000
0.002000, 0.158000, 0.001000, 0.011000
0.005000, 0.067000, 0.001000, 0.001000
0.030000, 1.309000, 68.051000, 0.083000
2.202000, 14.681000, 1000.000000, 355.606000
0.894000, 0.071000, 1000.000000, 1000.000000
0.014000, 0.038000, 0.006000, 0.006000
0.016000, 0.040000, 0.195000, 0.006000
0.006000, 0.072000, 0.005000, 0.004000
0.003000, 0.039000, 0.005000, 0.002000
0.003000, 0.073000, 0.006000, 0.001000
0.278000, 0.048000, 1000.000000, 1000.000000
0.008000, 0.104000, 0.001000, 0.001000
0.001000, 0.001000, 6.958000, 0.073000
1.122000, 1.577000, 0.001000, 2.296000
0.003000, 0.058000, 0.001000, 0.001000
0.001000, 0.001000, 4.460000, 43.589000
0.001000, 0.002000, 1000.000000, 1000.000000
0.001000, 0.001000, 0.001000, 0.003000
0.001000, 0.001000, 241.325000, 1000.000000
0.001000, 0.001000, 1000.000000, 1000.000000
0.001000, 0.001000, 1000.000000, 1000.000000
0.001000, 0.001000, 0.001000, 0.001000
51.660000, 0.224000, 1000.000000, 15.496000
70.151000, 1.758000, 1000.000000, 11.568000
2.758000, 0.081000, 12.236000, 0.187000
0.008000, 0.070000, 0.002000, 0.001000
0.019000, 0.913000, 3.758000, 0.039000
0.001000, 0.118000, 0.009000, 0.001000
0.002000, 0.139000, 1.098000, 0.028000
0.001000, 0.220000, 2.587000, 0.004000
25.506000, 1000.000000, 1000.000000, 1000.000000
0.001000, 0.001000, 1000.000000, 1000.000000
0.029000, 0.017000, 0.451000, 0.054000
0.006000, 0.101000, 0.001000, 0.001000
0.023000, 0.668000, 2.713000, 0.082000
0.417000, 1.285000, 232.814000, 268.222000
1000.000000, 1000.000000, 1000.000000, 1000.000000
1000.000000, 25.345000, 1000.000000, 1000.000000
1000.000000, 1000.000000, 1000.000000, 1000.000000
1000.000000, 1000.000000, 1000.000000, 1000.000000
1000.000000, 1000.000000, 1000.000000, 1000.000000
1000.000000, 1000.000000, 1000.000000, 1000.000000
1000.000000, 1000.000000, 1000.000000, 1000.000000
0.006000, 0.083000, 1000.000000, 0.001000
1000.000000, 1000.000000, 1000.000000, 1000.000000
