family,instance,solver,time
1,F.04,Glasgow,0.196000
1,F.04,LAD,0.172000
1,F.04,VF2,1000.000000
1,F.04,RI,0.000028
1,C.18,Glasgow,0.203000
1,C.18,LAD,0.047000
1,C.18,VF2,1000.000000
1,C.18,RI,0.000009
1,A.04,Glasgow,0.010000
1,A.04,LAD,0.002000
1,A.04,VF2,0.083000
1,A.04,RI,0.000004
1,C.02,Glasgow,0.178000
1,C.02,LAD,0.063000
1,C.02,VF2,1000.000000
1,C.02,RI,0.000019
1,E.01,Glasgow,0.115000
1,E.01,LAD,0.018000
1,E.01,VF2,1000.000000
1,E.01,RI,1000.000000
1,F.20,Glasgow,0.159000
1,F.20,LAD,3.243000
1,F.20,VF2,1000.000000
1,F.20,RI,1000.000000
1,B.20,Glasgow,0.068000
1,B.20,LAD,0.029000
1,B.20,VF2,1000.000000
1,B.20,RI,0.000004
1,C.08,Glasgow,0.174000
1,C.08,LAD,0.059000
1,C.08,VF2,1000.000000
1,C.08,RI,0.000044
1,B.11,Glasgow,0.066000
1,B.11,LAD,0.033000
1,B.11,VF2,1000.000000
1,B.11,RI,0.000005
1,C.10,Glasgow,0.235000
1,C.10,LAD,0.105000
1,C.10,VF2,1000.000000
1,C.10,RI,0.000003
1,B.06,Glasgow,0.066000
1,B.06,LAD,0.015000
1,B.06,VF2,1000.000000
1,B.06,RI,0.000004
1,F.08,Glasgow,0.204000
1,F.08,LAD,1.221000
1,F.08,VF2,1000.000000
1,F.08,RI,1000.000000
1,B.07,Glasgow,0.067000
1,B.07,LAD,0.021000
1,B.07,VF2,1000.000000
1,B.07,RI,0.000003
1,E.04,Glasgow,0.107000
1,E.04,LAD,0.017000
1,E.04,VF2,1000.000000
1,E.04,RI,1000.000000
1,C.01,Glasgow,0.195000
1,C.01,LAD,0.057000
1,C.01,VF2,1000.000000
1,C.01,RI,0.000001
1,B.10,Glasgow,0.071000
1,B.10,LAD,0.036000
1,B.10,VF2,1000.000000
1,B.10,RI,0.000001
1,A.15,Glasgow,0.007000
1,A.15,LAD,0.004000
1,A.15,VF2,1000.000000
