input,experiment_ware,cpu_time,Checked answer,Wallclock time,Memory,Solver name,Solver version,timeout,success,user_success,missing,consistent_xp,consistent_input,error,family
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,cosoco 2,14.919,SAT,14.9192,28784.0,cosoco,2,2400.0,True,True,False,True,True,False,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,AbsCon 2019-07-23,3.65329,SAT,2.30697,10746276.0,AbsCon,2019-07-23,2400.0,True,True,False,True,True,False,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,PicatSAT 2019-09-12,228.644,SAT,228.65,2199068.0,PicatSAT,2019-09-12,2400.0,True,True,False,True,True,False,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,choco-solver 2019-09-24,69.1219,SAT,63.705,15264284.0,choco-solver,2019-09-24,2400.0,True,True,False,True,True,False,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,Concrete 3.10,81.2146,SAT,68.9308,10849960.0,Concrete,3.10,2400.0,True,True,False,True,True,False,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,Concrete 3.12.3,9.80993,SAT,4.86514,10947356.0,Concrete,3.12.3,2400.0,True,True,False,True,True,False,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,choco-solver 2019-09-20,1.52427,SAT,0.711266,15530540.0,choco-solver,2019-09-20,2400.0,True,True,False,True,True,False,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,choco-solver 2019-06-14,1.60424,SAT,0.709087,15530532.0,choco-solver,2019-06-14,2400.0,True,True,False,True,True,False,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,choco-solver 2019-09-16,1.51053,SAT,0.682586,15530540.0,choco-solver,2019-09-16,2400.0,True,True,False,True,True,False,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,BTD 19.07.01,0.031203,SAT,0.031908,0.0,BTD,19.07.01,2400.0,True,True,False,True,True,False,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,Fun-sCOP hybrid+CryptoMiniSat (2019-06-15),11.6944,SAT,5.97747,15142500.0,Fun-sCOP,hybrid+CryptoMiniSat (2019-06-15),2400.0,True,True,False,True,True,False,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,Fun-sCOP order+GlueMiniSat (2019-06-15),14.1492,SAT,8.11736,15140452.0,Fun-sCOP,order+GlueMiniSat (2019-06-15),2400.0,True,True,False,True,True,False,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-035.xml,VBS,0.031203,SAT,0.031908,0.0,BTD,19.07.01,2400.0,True,True,False,True,True,False,AllInterval
XCSP17/AllInterval/AllInterval-m1-s1/AllInterval-040.xml,cosoco 2,0.347661,SAT,0.348062,29456.0,cosoco,2,2400.0,True,True,False,True,True,False,AllInterval
